2026-07-12T17:15:48Z	674	2	frontier03838	2048
2026-07-12T17:15:48Z	673	1	frontier03838	2048
2026-07-12T17:15:48Z	676	4	frontier03838	2048
2026-07-12T17:15:48Z	678	6	frontier03838	2048
2026-07-12T17:15:48Z	675	3	frontier03838	2048
2026-07-12T17:15:48Z	672	0	frontier03838	2048
2026-07-12T17:15:48Z	679	7	frontier03838	2048
2026-07-12T17:15:48Z	677	5	frontier03838	2048
2026-07-12T17:15:48Z	47	7	frontier00129	2048
2026-07-12T17:15:48Z	43	3	frontier00129	2048
2026-07-12T17:15:48Z	46	6	frontier00129	2048
2026-07-12T17:15:48Z	44	4	frontier00129	2048
2026-07-12T17:15:48Z	45	5	frontier00129	2048
2026-07-12T17:15:48Z	42	2	frontier00129	2048
2026-07-12T17:15:48Z	41	1	frontier00129	2048
2026-07-12T17:15:48Z	40	0	frontier00129	2048
2026-07-12T17:15:48Z	1390	6	frontier06792	2048
2026-07-12T17:15:48Z	1385	1	frontier06792	2048
2026-07-12T17:15:48Z	1388	4	frontier06792	2048
2026-07-12T17:15:48Z	1391	7	frontier06792	2048
2026-07-12T17:15:49Z	1384	0	frontier06792	2048
2026-07-12T17:15:49Z	713	1	frontier03956	2048
2026-07-12T17:15:49Z	712	0	frontier03956	2048
2026-07-12T17:15:49Z	1386	2	frontier06792	2048
2026-07-12T17:15:49Z	717	5	frontier03956	2048
2026-07-12T17:15:49Z	1387	3	frontier06792	2048
2026-07-12T17:15:49Z	718	6	frontier03956	2048
2026-07-12T17:15:49Z	1389	5	frontier06792	2048
2026-07-12T17:15:49Z	715	3	frontier03956	2048
2026-07-12T17:15:49Z	298	2	frontier01721	2048
2026-07-12T17:15:49Z	300	4	frontier01721	2048
2026-07-12T17:15:49Z	302	6	frontier01721	2048
2026-07-12T17:15:49Z	301	5	frontier01721	2048
2026-07-12T17:15:49Z	296	0	frontier01721	2048
2026-07-12T17:15:49Z	716	4	frontier03956	2048
2026-07-12T17:15:49Z	1859	3	frontier08496	2048
2026-07-12T17:15:49Z	1863	7	frontier08496	2048
2026-07-12T17:15:49Z	714	2	frontier03956	2048
2026-07-12T17:15:49Z	297	1	frontier01721	2048
2026-07-12T17:15:49Z	719	7	frontier03956	2048
2026-07-12T17:15:49Z	299	3	frontier01721	2048
2026-07-12T17:15:49Z	303	7	frontier01721	2048
2026-07-12T17:15:49Z	1857	1	frontier08496	2048
2026-07-12T17:15:49Z	1860	4	frontier08496	2048
2026-07-12T17:15:49Z	1856	0	frontier08496	2048
2026-07-12T17:15:49Z	1861	5	frontier08496	2048
2026-07-12T17:15:49Z	1858	2	frontier08496	2048
2026-07-12T17:15:49Z	1862	6	frontier08496	2048
2026-07-12T17:15:49Z	1963	3	frontier09098	2048
2026-07-12T17:15:49Z	1967	7	frontier09098	2048
2026-07-12T17:15:49Z	1962	2	frontier09098	2048
2026-07-12T17:15:49Z	1961	1	frontier09098	2048
2026-07-12T17:15:49Z	1966	6	frontier09098	2048
2026-07-12T17:15:49Z	1965	5	frontier09098	2048
2026-07-12T17:15:49Z	1964	4	frontier09098	2048
2026-07-12T17:15:49Z	1960	0	frontier09098	2048
2026-07-12T17:15:49Z	1303	7	frontier06407	2048
2026-07-12T17:15:49Z	1302	6	frontier06407	2048
2026-07-12T17:15:49Z	1298	2	frontier06407	2048
2026-07-12T17:15:49Z	1301	5	frontier06407	2048
2026-07-12T17:15:49Z	1300	4	frontier06407	2048
2026-07-12T17:15:49Z	1297	1	frontier06407	2048
2026-07-12T17:15:49Z	1299	3	frontier06407	2048
2026-07-12T17:15:49Z	1296	0	frontier06407	2048
2026-07-12T17:15:49Z	228	4	frontier01171	2048
2026-07-12T17:15:49Z	225	1	frontier01171	2048
2026-07-12T17:15:49Z	231	7	frontier01171	2048
2026-07-12T17:15:49Z	227	3	frontier01171	2048
2026-07-12T17:15:49Z	224	0	frontier01171	2048
2026-07-12T17:15:49Z	229	5	frontier01171	2048
2026-07-12T17:15:49Z	226	2	frontier01171	2048
2026-07-12T17:15:49Z	230	6	frontier01171	2048
