JobIDRaw|JobName|State|ExitCode|DerivedExitCode|NNodes|NTasks|NodeList|Partition|QOS|Account|Submit|Start|End|Elapsed
5126609|e97-samealloc|COMPLETED|0:0|0:9|8||frontier[02949,03333,03461,03717,03973,04100,04228,04356]|batch|normal|bif148|2026-07-31T08:37:56|2026-07-31T08:38:31|2026-07-31T08:59:14|00:20:43
5126609.batch|batch|COMPLETED|0:0||1|1|frontier02949|||bif148|2026-07-31T08:38:31|2026-07-31T08:38:31|2026-07-31T08:59:14|00:20:43
5126609.extern|extern|COMPLETED|0:0||8|8|frontier[02949,03333,03461,03717,03973,04100,04228,04356]|||bif148|2026-07-31T08:38:31|2026-07-31T08:38:31|2026-07-31T08:59:15|00:20:44
5126609.0|bash|CANCELLED|0:9||8|64|frontier[02949,03333,03461,03717,03973,04100,04228,04356]|||bif148|2026-07-31T08:38:43|2026-07-31T08:38:43|2026-07-31T08:47:44|00:09:01
5126609.1|bash|COMPLETED|0:0||7|56|frontier[02949,03333,03461,03717,03973,04100,04228]|||bif148|2026-07-31T08:47:45|2026-07-31T08:47:45|2026-07-31T08:59:14|00:11:29
5126610|collect-e97-8n-samealloc|COMPLETED|0:0|0:0|1||frontier06914|batch|normal|bif148|2026-07-31T08:37:56|2026-07-31T09:00:01|2026-07-31T09:00:13|00:00:12
5126610.batch|batch|COMPLETED|0:0||1|1|frontier06914|||bif148|2026-07-31T09:00:01|2026-07-31T09:00:01|2026-07-31T09:00:13|00:00:12
5126610.extern|extern|COMPLETED|0:0||1|1|frontier06914|||bif148|2026-07-31T09:00:01|2026-07-31T09:00:01|2026-07-31T09:00:13|00:00:12
